-21,-15,274,307,-6,-130,-40,39,8,34
-19,-6,270,312,-14,-129,-40,38,8,32
-23,-11,274,312,-14,-129,-40,40,10,34
-21,-23,275,313,-11,-136,-41,41,7,35
-25,-7,272,313,-11,-136,-42,39,7,33
-19,-13,271,303,-6,-126,-41,41,8,34
-24,-5,270,303,-6,-126,-42,40,8,32
-21,-5,267,312,-5,-135,-42,40,8,33
-26,-10,275,308,-3,-138,-41,40,7,33
-23,-4,270,308,-3,-138,-42,40,8,32
-20,-11,278,299,-5,-120,-41,40,8,33
-21,-7,269,299,-5,-120,-41,40,8,32
-21,-7,270,319,-16,-144,-40,40,7,34
-21,-4,272,319,-16,-144,-40,40,7,33
-24,-7,275,321,-15,-145,-41,40,9,34
-23,-16,277,307,-10,-132,-42,39,9,34
-18,-12,267,307,-10,-132,-41,39,7,35
-22,-17,276,316,-10,-132,-40,38,8,34
-20,-1,269,316,-10,-132,-42,39,8,32
-22,-15,270,299,-9,-117,-42,40,8,33
-23,-8,272,305,-2,-136,-41,39,7,32
-24,-8,266,305,-2,-136,-41,39,8,33
-20,-4,274,308,-12,-129,-42,41,7,33
-20,-6,268,308,-12,-129,-41,40,9,34
-25,-10,276,310,-8,-136,-40,40,8,33
-23,-17,268,310,-8,-136,-43,39,7,34
-20,-8,281,311,-8,-133,-40,40,8,31
-21,-13,277,312,-1,-139,-41,39,8,33
-18,-4,265,312,-1,-139,-41,39,7,33
-17,-14,277,304,-7,-118,-42,40,7,33
-24,-3,272,304,-7,-118,-42,39,8,33
-18,-10,273,304,-15,-128,-42,39,9,34
-23,-12,267,304,-15,-128,-40,40,6,35
-18,-5,266,317,-10,-131,-40,39,8,32
-25,-21,270,310,-16,-127,-42,39,9,34
-23,-2,273,310,-16,-127,-41,39,9,33
-22,-6,276,303,-8,-127,-40,39,8,32
-19,-15,282,303,-8,-127,-41,39,8,34
-19,-17,273,310,-9,-137,-42,40,8,33
-21,-14,271,310,-9,-137,-42,40,7,34
-21,-5,270,306,-8,-126,-42,40,9,32
-17,-3,266,311,-6,-134,-43,39,8,32
-17,-13,275,311,-6,-134,-42,40,9,32
-20,-10,273,310,-8,-134,-41,40,9,33
-20,-11,269,310,-8,-134,-41,39,8,34
-24,-6,275,306,-8,-131,-41,40,8,32
